Quarter end date,ASGS code,ASGS Name,Number of debtors with an insolvency that is non-business related or not stated,Number of debtors with an insolvency that is business related,Total number of debtors
30-Sep-17,1,New South Wales,1863,312,2175
30-Sep-17,1GSYD,Greater Sydney,1124,186,1310
30-Sep-17,1RNSW,Rest of NSW,738,126,864
30-Sep-17,10102,Queanbeyan,,,19
30-Sep-17,10103,Snowy Mountains,,,6
30-Sep-17,10104,South Coast,19,3,22
30-Sep-17,10105,Goulburn - Mulwaree,,,13
30-Sep-17,10106,Young - Yass,10,3,13
30-Sep-17,10201,Gosford,45,14,59
30-Sep-17,10202,Wyong,79,8,87
30-Sep-17,10301,Bathurst,,,23
30-Sep-17,10302,Lachlan Valley,,,15
30-Sep-17,10303,Lithgow - Mudgee,19,4,23
30-Sep-17,10304,Orange,20,6,26
30-Sep-17,10401,Clarence Valley,,,14
30-Sep-17,10402,Coffs Harbour,22,8,30
30-Sep-17,10501,Bourke - Cobar - Coonamble,,,
30-Sep-17,10502,Broken Hill and Far West,,,9
30-Sep-17,10503,Dubbo,15,3,18
30-Sep-17,10601,Lower Hunter,30,6,36
30-Sep-17,10602,Maitland,,,26
30-Sep-17,10603,Port Stephens,20,3,23
30-Sep-17,10604,Upper Hunter,,,11
30-Sep-17,10701,Dapto - Port Kembla,,,19
30-Sep-17,10702,Illawarra Catchment Reserve,0,0,0
30-Sep-17,10703,Kiama - Shellharbour,27,3,30
30-Sep-17,10704,Wollongong,,,19
30-Sep-17,10801,Great Lakes,,,10
30-Sep-17,10802,Kempsey - Nambucca,,,13
30-Sep-17,10803,Lord Howe Island,0,0,0
30-Sep-17,10804,Port Macquarie,29,10,39
30-Sep-17,10805,Taree - Gloucester,16,3,19
30-Sep-17,10901,Albury,20,5,25
30-Sep-17,10902,Lower Murray,,,
30-Sep-17,10903,Upper Murray exc. Albury,9,0,9
30-Sep-17,11001,Armidale,,,6
30-Sep-17,11002,Inverell - Tenterfield,,,13
30-Sep-17,11003,Moree - Narrabri,,,5
30-Sep-17,11004,Tamworth - Gunnedah,21,3,24
30-Sep-17,11101,Lake Macquarie - East,22,3,25
30-Sep-17,11102,Lake Macquarie - West,18,7,25
30-Sep-17,11103,Newcastle,50,6,56
30-Sep-17,11201,Richmond Valley - Coastal,15,3,18
30-Sep-17,11202,Richmond Valley - Hinterland,15,5,20
30-Sep-17,11203,Tweed Valley,21,9,30
30-Sep-17,11301,Griffith - Murrumbidgee (West),,,19
30-Sep-17,11302,Tumut - Tumbarumba,3,0,3
30-Sep-17,11303,Wagga Wagga,,,44
30-Sep-17,11401,Shoalhaven,40,3,43
30-Sep-17,11402,Southern Highlands,13,3,16
30-Sep-17,11501,Baulkham Hills,18,8,26
30-Sep-17,11502,Dural - Wisemans Ferry,,,
30-Sep-17,11503,Hawkesbury,11,0,11
30-Sep-17,11504,Rouse Hill - McGraths Hill,,,7
30-Sep-17,11601,Blacktown,48,5,53
30-Sep-17,11602,Blacktown - North,20,3,23
30-Sep-17,11603,Mount Druitt,,,72
30-Sep-17,11701,Botany,,,21
30-Sep-17,11702,Marrickville - Sydenham - Petersham,,,12
